Created with UCDetector 1.10.0	2016-05-14 13:33:23	http://www.ucdetector.org/	
net.sf.freecol.common.model.Turn.getSeason(Turn.java:173)	Change visibility of Method "Turn.getSeason(int)" to default	Turn.getSeason(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Game.getOtherLivePlayers(Game.java:547)	Method "Game.getOtherLivePlayers(Player[])" has 0 references	Game.getOtherLivePlayers(Player[])	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.Game.getPlayerAfter(Game.java:596)	Change visibility of Method "Game.getPlayerAfter(Player)" to private	Game.getPlayerAfter(Player)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.Game.notifySetFreeColGameObject(Game.java:924)	Change visibility of Method "Game.notifySetFreeColGameObject(String,FreeColGameObject)" to private	Game.notifySetFreeColGameObject(String,FreeColGameObject)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.Game.notifyRemoveFreeColGameObject(Game.java:935)	Change visibility of Method "Game.notifyRemoveFreeColGameObject(String)" to private	Game.notifyRemoveFreeColGameObject(String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.Game.notifyOwnerChanged(Game.java:948)	Change visibility of Method "Game.notifyOwnerChanged(FreeColGameObject,Player,Player)" to default	Game.notifyOwnerChanged(FreeColGameObject,Player,Player)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Game.checkOwners(Game.java:964)	Change visibility of Method "Game.checkOwners(Ownable,Player)" to default	Game.checkOwners(Ownable,Player)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Game.unserialize(Game.java:1109)	Method "Game.unserialize(String,Class<T>)" has 0 references	Game.unserialize(String,Class<T>)	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.Game.freeColGameObjects(Game.java:168)	Change visibility of Field "Game.freeColGameObjects" to private	Game.freeColGameObjects	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.Game.freeColGameObjectListener(Game.java:191)	Change visibility of Field "Game.freeColGameObjectListener" to private	Game.freeColGameObjectListener	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.Limit.<init>(Limit.java:40)	Change visibility of Enum "Limit.Operator" to default - May cause compile errors!	Limit.Operator	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Limit.Limit(Limit.java:59)	Constructor "Limit.Limit(Specification)" has 0 references	Limit.Limit(Specification)	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.Limit.Limit(Limit.java:70)	Change visibility of Constructor "Limit.Limit(FreeColXMLReader,Specification)" to default	Limit.Limit(FreeColXMLReader,Specification)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Limit.Limit(Limit.java:84)	Constructor "Limit.Limit(String,Operand,Operator,Operand)" has 0 references	Limit.Limit(String,Operand,Operator,Operand)	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.Limit.appliesTo(Limit.java:147)	Method "Limit.appliesTo(FreeColObject)" has 0 references	Limit.appliesTo(FreeColObject)	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.Limit.hasOperandType(Limit.java:265)	Method "Limit.hasOperandType(OperandType)" has 0 references	Limit.hasOperandType(OperandType)	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.Limit.getTagName(Limit.java:383)	Change visibility of Method "Limit.getTagName()" to default	Limit.getTagName()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.GoodsTradeItem.GoodsTradeItem(GoodsTradeItem.java:62)	Change visibility of Constructor "GoodsTradeItem.GoodsTradeItem(Game,FreeColXMLReader)" to default	GoodsTradeItem.GoodsTradeItem(Game,FreeColXMLReader)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.GoodsTradeItem.getTagName(GoodsTradeItem.java:215)	Change visibility of Method "GoodsTradeItem.getTagName()" to default	GoodsTradeItem.getTagName()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.TileImprovementStyle.decodeOldStyle(TileImprovementStyle.java:110)	Change visibility of Method "TileImprovementStyle.decodeOldStyle(String,int)" to default	TileImprovementStyle.decodeOldStyle(String,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.TileImprovementStyle.getInstance(TileImprovementStyle.java:139)	Change visibility of Method "TileImprovementStyle.getInstance(String)" to default	TileImprovementStyle.getInstance(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Nation.Nation(Nation.java:133)	Change visibility of Constructor "Nation.Nation(String,Specification)" to default	Nation.Nation(String,Specification)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Nation.forceDefaultColor(Nation.java:255)	Change visibility of Method "Nation.forceDefaultColor()" to default	Nation.forceDefaultColor()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Nation.getTagName(Nation.java:354)	Change visibility of Method "Nation.getTagName()" to private	Nation.getTagName()	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.LastSale.LastSale(LastSale.java:67)	Change visibility of Constructor "LastSale.LastSale(String,Turn,int)" to private	LastSale.LastSale(String,Turn,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.LastSale.LastSale(LastSale.java:79)	Change visibility of Constructor "LastSale.LastSale(FreeColXMLReader)" to default	LastSale.LastSale(FreeColXMLReader)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.LastSale.makeKey(LastSale.java:110)	Change visibility of Method "LastSale.makeKey(Location,GoodsType)" to default	LastSale.makeKey(Location,GoodsType)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.RandomRange.RandomRange(RandomRange.java:68)	Change visibility of Constructor "RandomRange.RandomRange(int,int,int,int)" to default	RandomRange.RandomRange(int,int,int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.RandomRange.RandomRange(RandomRange.java:90)	Change visibility of Constructor "RandomRange.RandomRange(FreeColXMLReader)" to default	RandomRange.RandomRange(FreeColXMLReader)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.RandomRange.appliesTo(RandomRange.java:157)	Change visibility of Method "RandomRange.appliesTo(FreeColObject)" to default	RandomRange.appliesTo(FreeColObject)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.RandomRange.toXML(RandomRange.java:209)	Change visibility of Method "RandomRange.toXML(FreeColXMLWriter,String)" to default	RandomRange.toXML(FreeColXMLWriter,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.RandomRange.readFromXML(RandomRange.java:232)	Change visibility of Method "RandomRange.readFromXML(FreeColXMLReader)" to private	RandomRange.readFromXML(FreeColXMLReader)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.Force.Force(Force.java:64)	Change visibility of Constructor "Force.Force(Specification)" to default	Force.Force(Specification)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Force.Force(Force.java:76)	Change visibility of Constructor "Force.Force(Specification,List<AbstractUnit>,*)" to default	Force.Force(Specification,List<AbstractUnit>,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Force.updateSpaceAndCapacity(Force.java:117)	Change visibility of Method "Force.updateSpaceAndCapacity()" to default	Force.updateSpaceAndCapacity()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Force.calculateStrength(Force.java:208)	Change visibility of Method "Force.calculateStrength(boolean)" to default	Force.calculateStrength(boolean)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Force.fixOldREFRoles(Force.java:214)	Change visibility of Method "Force.fixOldREFRoles()" to default	Force.fixOldREFRoles()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Force.getTagName(Force.java:304)	Change visibility of Method "Force.getTagName()" to private	Force.getTagName()	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.Force.LAND_UNITS_TAG(Force.java:238)	Change visibility of Constant "Force.LAND_UNITS_TAG" to default	Force.LAND_UNITS_TAG	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.Force.NAVAL_UNITS_TAG(Force.java:239)	Change visibility of Constant "Force.NAVAL_UNITS_TAG" to default	Force.NAVAL_UNITS_TAG	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.GoodsType.GoodsType(GoodsType.java:136)	Constructor "GoodsType.GoodsType(String,Specification)" has 0 references	GoodsType.GoodsType(String,Specification)	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.GoodsType.setMilitary(GoodsType.java:170)	Change visibility of Method "GoodsType.setMilitary()" to default	GoodsType.setMilitary()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.GoodsType.setDerivedAttributes(GoodsType.java:491)	Change visibility of Method "GoodsType.setDerivedAttributes(Specification)" to default	GoodsType.setDerivedAttributes(Specification)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.GoodsType.getTagName(GoodsType.java:705)	Change visibility of Method "GoodsType.getTagName()" to private	GoodsType.getTagName()	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.ProductionMap.<init>(ProductionMap.java:32)	Change visibility of Class "ProductionMap" to default - May cause compile errors!	ProductionMap	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.ProductionMap.<init>(ProductionMap.java:36)	Change visibility of Member class "ProductionMap.ProductionTree" to private - May cause compile errors!	ProductionMap.ProductionTree	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.ProductionMap.ProductionTree(ProductionMap.java:50)	Change visibility of Constructor "ProductionMap.ProductionTree.ProductionTree(AbstractGoods,AbstractGoods[])" to private	ProductionMap.ProductionTree.ProductionTree(AbstractGoods,AbstractGoods[])	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.ProductionMap.add(ProductionMap.java:81)	Change visibility of Method "ProductionMap.ProductionTree.add(AbstractGoods)" to private	ProductionMap.ProductionTree.add(AbstractGoods)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.ProductionMap.remove(ProductionMap.java:97)	Change visibility of Method "ProductionMap.ProductionTree.remove(AbstractGoods)" to private	ProductionMap.ProductionTree.remove(AbstractGoods)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.sf.freecol.common.model.ProductionMap.add(ProductionMap.java:152)	Change visibility of Method "ProductionMap.add(AbstractGoods)" to default	ProductionMap.add(AbstractGoods)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.ProductionMap.remove(ProductionMap.java:182)	Change visibility of Method "ProductionMap.remove(AbstractGoods)" to default	ProductionMap.remove(AbstractGoods)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.ProductionMap.add(ProductionMap.java:192)	Change visibility of Method "ProductionMap.add(List<AbstractGoods>)" to default	ProductionMap.add(List<AbstractGoods>)	org.ucdetector.analyzeMarkerVisibilityDefault	
